HOY;DOY;Month;Day;Hour;DataLoad
738;31;1;31;18;780
739;31;1;31;19;780
740;31;1;31;20;750
741;31;1;31;21;740
742;31;1;31;22;710
743;31;1;31;23;670
744;31;1;31;24;680
745;32;2;1;1;550
746;32;2;1;2;550
747;32;2;1;3;550
748;32;2;1;4;550
749;32;2;1;5;570
750;32;2;1;6;600
751;32;2;1;7;630
752;32;2;1;8;670
753;32;2;1;9;690
754;32;2;1;10;670
755;32;2;1;11;660
756;32;2;1;12;650
757;32;2;1;13;640
758;32;2;1;14;620
759;32;2;1;15;620
760;32;2;1;16;650
761;32;2;1;17;680
762;32;2;1;18;690
763;32;2;1;19;690
764;32;2;1;20;700
765;32;2;1;21;670
766;32;2;1;22;620
767;32;2;1;23;600
768;32;2;1;24;590
769;33;2;2;1;550
770;33;2;2;2;550
771;33;2;2;3;550
772;33;2;2;4;550
773;33;2;2;5;570
774;33;2;2;6;600
775;33;2;2;7;630
776;33;2;2;8;670
777;33;2;2;9;690
778;33;2;2;10;670
779;33;2;2;11;660
780;33;2;2;12;650
781;33;2;2;13;640
782;33;2;2;14;620
783;33;2;2;15;620
784;33;2;2;16;650
785;33;2;2;17;680
786;33;2;2;18;690
787;33;2;2;19;690
788;33;2;2;20;700
789;33;2;2;21;670
790;33;2;2;22;620
791;33;2;2;23;600
792;33;2;2;24;590
793;34;2;3;1;550
794;34;2;3;2;550
795;34;2;3;3;550
796;34;2;3;4;550
797;34;2;3;5;570
798;34;2;3;6;600
799;34;2;3;7;630
800;34;2;3;8;670
801;34;2;3;9;690
802;34;2;3;10;670
803;34;2;3;11;660
804;34;2;3;12;650
805;34;2;3;13;640
806;34;2;3;14;620
807;34;2;3;15;620
808;34;2;3;16;650
809;34;2;3;17;680
810;34;2;3;18;690
811;34;2;3;19;690
812;34;2;3;20;700
813;34;2;3;21;670
814;34;2;3;22;620
815;34;2;3;23;600
816;34;2;3;24;590
817;35;2;4;1;550
818;35;2;4;2;550
819;35;2;4;3;550
820;35;2;4;4;550
821;35;2;4;5;570
822;35;2;4;6;600
823;35;2;4;7;630
824;35;2;4;8;670
825;35;2;4;9;690
826;35;2;4;10;670
827;35;2;4;11;660
828;35;2;4;12;650
829;35;2;4;13;640
830;35;2;4;14;620
831;35;2;4;15;620
832;35;2;4;16;650
833;35;2;4;17;680
834;35;2;4;18;690
835;35;2;4;19;690
836;35;2;4;20;700
837;35;2;4;21;670
838;35;2;4;22;620
839;35;2;4;23;600
840;35;2;4;24;590
841;36;2;5;1;550
842;36;2;5;2;550
843;36;2;5;3;550
844;36;2;5;4;550
845;36;2;5;5;570
846;36;2;5;6;600
847;36;2;5;7;630
848;36;2;5;8;670
849;36;2;5;9;690
850;36;2;5;10;670
851;36;2;5;11;660
852;36;2;5;12;650
853;36;2;5;13;640
854;36;2;5;14;620
855;36;2;5;15;620
856;36;2;5;16;650
857;36;2;5;17;680
858;36;2;5;18;690
859;36;2;5;19;690
860;36;2;5;20;700
861;36;2;5;21;670
862;36;2;5;22;620
863;36;2;5;23;600
864;36;2;5;24;590
865;37;2;6;1;550
866;37;2;6;2;550
867;37;2;6;3;550
868;37;2;6;4;550
869;37;2;6;5;570
870;37;2;6;6;600
871;37;2;6;7;630
872;37;2;6;8;670
873;37;2;6;9;690
874;37;2;6;10;670
875;37;2;6;11;660
876;37;2;6;12;650
877;37;2;6;13;640
878;37;2;6;14;620
879;37;2;6;15;620
880;37;2;6;16;650
881;37;2;6;17;680
882;37;2;6;18;690
883;37;2;6;19;690
884;37;2;6;20;700
885;37;2;6;21;670
886;37;2;6;22;620
887;37;2;6;23;600
888;37;2;6;24;590
889;38;2;7;1;550
890;38;2;7;2;550
891;38;2;7;3;550
892;38;2;7;4;550
893;38;2;7;5;570
894;38;2;7;6;600
895;38;2;7;7;630
896;38;2;7;8;670
897;38;2;7;9;690
898;38;2;7;10;670
899;38;2;7;11;660
900;38;2;7;12;650
901;38;2;7;13;640
902;38;2;7;14;620
903;38;2;7;15;620
904;38;2;7;16;650
905;38;2;7;17;680
906;38;2;7;18;690
907;38;2;7;19;690
908;38;2;7;20;700
909;38;2;7;21;670
910;38;2;7;22;620
911;38;2;7;23;600
912;38;2;7;24;590
913;39;2;8;1;550
914;39;2;8;2;550
915;39;2;8;3;550
916;39;2;8;4;550
917;39;2;8;5;570
918;39;2;8;6;600
919;39;2;8;7;630
920;39;2;8;8;670
921;39;2;8;9;690
922;39;2;8;10;670
923;39;2;8;11;660
924;39;2;8;12;650
925;39;2;8;13;640
926;39;2;8;14;620
927;39;2;8;15;620
928;39;2;8;16;650
929;39;2;8;17;680
930;39;2;8;18;690
931;39;2;8;19;690
932;39;2;8;20;700
933;39;2;8;21;670
934;39;2;8;22;620
935;39;2;8;23;600
936;39;2;8;24;590
937;40;2;9;1;550
938;40;2;9;2;550
939;40;2;9;3;550
940;40;2;9;4;550
941;40;2;9;5;570
942;40;2;9;6;600
943;40;2;9;7;630
944;40;2;9;8;670
945;40;2;9;9;690
946;40;2;9;10;670
947;40;2;9;11;660
948;40;2;9;12;650
949;40;2;9;13;640
950;40;2;9;14;620
951;40;2;9;15;620
952;40;2;9;16;650
953;40;2;9;17;680
954;40;2;9;18;690
955;40;2;9;19;690
956;40;2;9;20;700
957;40;2;9;21;670
958;40;2;9;22;620
959;40;2;9;23;600
960;40;2;9;24;590
961;41;2;10;1;550
962;41;2;10;2;550
963;41;2;10;3;550
964;41;2;10;4;550
965;41;2;10;5;570
966;41;2;10;6;600
967;41;2;10;7;630
968;41;2;10;8;670
969;41;2;10;9;690
970;41;2;10;10;670
971;41;2;10;11;660
972;41;2;10;12;650
973;41;2;10;13;640
974;41;2;10;14;620
975;41;2;10;15;620
976;41;2;10;16;650
977;41;2;10;17;680
978;41;2;10;18;690
979;41;2;10;19;690
980;41;2;10;20;700
981;41;2;10;21;670
982;41;2;10;22;620
983;41;2;10;23;600
984;41;2;10;24;590
985;42;2;11;1;550
986;42;2;11;2;550
987;42;2;11;3;550
988;42;2;11;4;550
989;42;2;11;5;570
990;42;2;11;6;600
991;42;2;11;7;630
992;42;2;11;8;670
993;42;2;11;9;690
994;42;2;11;10;670
995;42;2;11;11;660
996;42;2;11;12;650
997;42;2;11;13;640
998;42;2;11;14;620
999;42;2;11;15;620
1000;42;2;11;16;650
1001;42;2;11;17;680
1002;42;2;11;18;690
1003;42;2;11;19;690
1004;42;2;11;20;700
1005;42;2;11;21;670
1006;42;2;11;22;620
1007;42;2;11;23;600
1008;42;2;11;24;590
1009;43;2;12;1;550
1010;43;2;12;2;550
1011;43;2;12;3;550
1012;43;2;12;4;550
1013;43;2;12;5;570
1014;43;2;12;6;600
1015;43;2;12;7;630
1016;43;2;12;8;670
1017;43;2;12;9;690
1018;43;2;12;10;670
1019;43;2;12;11;660
1020;43;2;12;12;650
1021;43;2;12;13;640
1022;43;2;12;14;620
1023;43;2;12;15;620
1024;43;2;12;16;650
1025;43;2;12;17;680
1026;43;2;12;18;690
1027;43;2;12;19;690
1028;43;2;12;20;700
1029;43;2;12;21;670
1030;43;2;12;22;620
1031;43;2;12;23;600
1032;43;2;12;24;590
1033;44;2;13;1;550
1034;44;2;13;2;550
1035;44;2;13;3;550
1036;44;2;13;4;550
1037;44;2;13;5;570
1038;44;2;13;6;600
1039;44;2;13;7;630
1040;44;2;13;8;670
1041;44;2;13;9;690
1042;44;2;13;10;670
1043;44;2;13;11;660
1044;44;2;13;12;650
1045;44;2;13;13;640
1046;44;2;13;14;620
1047;44;2;13;15;620
1048;44;2;13;16;650
1049;44;2;13;17;680
1050;44;2;13;18;690
1051;44;2;13;19;690
1052;44;2;13;20;700
1053;44;2;13;21;670
1054;44;2;13;22;620
1055;44;2;13;23;600
1056;44;2;13;24;590
1057;45;2;14;1;550
1058;45;2;14;2;550
1059;45;2;14;3;550
1060;45;2;14;4;550
1061;45;2;14;5;570
1062;45;2;14;6;600
1063;45;2;14;7;630
1064;45;2;14;8;670
1065;45;2;14;9;690
1066;45;2;14;10;670
1067;45;2;14;11;660
1068;45;2;14;12;650
1069;45;2;14;13;640
1070;45;2;14;14;620
1071;45;2;14;15;620
1072;45;2;14;16;650
1073;45;2;14;17;680
1074;45;2;14;18;690
1075;45;2;14;19;690
